"Player","team","pos","base"
"DeAndre Hopkins","ARI","WR","$1,500,000"
"David Mayo","NYG","ILB","$1,500,000"
"Cameron Fleming","NYG","RT","$1,500,000"
"Carlos Hyde","SEA","RB","$1,500,000"
"Dennis Kelly","TEN","RT","$1,500,000"
"Jimmie Ward","SF","FS","$1,500,000"
"D.J. Moore","CAR","WR","$1,495,574"
"Hayden Hurst","ATL","TE","$1,483,275"
"Joe Dahl","DET","G","$1,475,000"
"Calvin Ridley","ATL","WR","$1,470,974"
"B.J. Finney","CIN","C","$1,470,588"
"Rashaad Penny","SEA","RB","$1,458,676"
"Avery Williamson","PIT","ILB","$1,455,885"
"Terrell Edmunds","PIT","SS","$1,452,526"
"La'el Collins","DAL","RT","$1,450,000"
"Kevin King","GB","CB","$1,430,575"
"Cam Robinson","JAC","LT","$1,422,022"
"Taven Bryan","JAC","DT","$1,403,178"
"T.J. Yeldon","BUF","RB","$1,400,000"
"Mason Crosby","GB","K","$1,400,000"
"Denzelle Good","LV","RT","$1,400,000"
"Ed Oliver","BUF","DT","$1,389,325"
"Carson Wentz","PHI","QB","$1,383,000"
"Mike Hughes","MIN","CB","$1,377,044"
"Chris Reed","CAR","C","$1,375,000"
"Tyler Shatley","JAC","G","$1,375,000"
"Forrest Lamp","LAC","G","$1,374,125"
"Austin Johnson","NYG","DE","$1,362,500"
"Brandon Graham","PHI","DE","$1,360,000"
"Marcus Maye","NYJ","FS","$1,358,733"
"Sony Michel","NE","RB","$1,355,154"
"Devin Bush","PIT","ILB","$1,352,808"
"Mark Nzeocha","SF","OLB","$1,350,000"
"Lamar Jackson","BAL","QB","$1,341,059"
"Zay Jones","LV","WR","$1,339,522"
"Marcus Williams","NO","SS","$1,315,969"
"Senio Kelemete","HOU","G","$1,300,000"
"DeVante Parker","MIA","WR","$1,300,000"
"Daryl Williams","BUF","G","$1,300,000"
"Beau Allen","NE","DT","$1,300,000"
"Andre Roberts","BUF","WR","$1,300,000"
"Tyler Larsen","CAR","C","$1,300,000"
"Cedric Ogbuehi","SEA","RT","$1,300,000"
"Vinny Curry","PHI","DE","$1,300,000"
"Jonah Williams","CIN","LT","$1,296,371"
"Gerald Everett","LAR","TE","$1,289,246"
"Adam Shaheen","MIA","TE","$1,270,982"
"Deon Bush","CHI","S","$1,262,500"
"Dion Dawkins","BUF","LT","$1,250,441"
"Kerry Hyder","SF","DE","$1,250,000"
"Ezekiel Ansah","SF","DE","$1,250,000"
"Chase Daniel","DET","QB","$1,250,000"
"Bryan Anger","HOU","P","$1,250,000"
"Chad Henne","KC","QB","$1,250,000"
"Ryan Smith","TB","CB","$1,250,000"
"Adrian Phillips","NE","FS","$1,250,000"
"Ronald Darby","WAS","CB","$1,250,000"
"Logan Thomas","WAS","TE","$1,250,000"
"Bryce Callahan","DEN","CB","$1,250,000"
"Christian Covington","CIN","DE","$1,250,000"
"Brandon Brooks","PHI","G","$1,250,000"
"Cameron Erving","DAL","G","$1,250,000"
"Greg Zuerlein","DAL","K","$1,250,000"
"Jack Doyle","IND","TE","$1,250,000"
"Tyus Bowser","BAL","OLB","$1,225,310"
"Levine Toilolo","NYG","TE","$1,225,000"
"Curtis Samuel","CAR","WR","$1,220,044"
"Rashan Gary","GB","OLB","$1,216,696"
"Jalen Ramsey","LAR","CB","$1,203,000"
"Le'Raven Clark","IND","RT","$1,200,000"
"Mike Iupati","SEA","G","$1,200,000"
"Christian Wilkins","MIA","DE","$1,196,777"
"Ryan Anderson","WAS","DE","$1,191,099"
"Deshaun Watson","HOU","QB","$1,177,123"
"Austin Corbett","LAR","G","$1,163,490"
"Chris Lindstrom","ATL","G","$1,161,503"
"Ryan Griffin","NYJ","TE","$1,160,000"
"Tre Boston","CAR","FS","$1,160,000"
"Will Hernandez","NYG","G","$1,157,340"
"DeMarcus Walker","DEN","DE","$1,156,890"
"Nick Chubb","CLE","RB","$1,151,190"
"Demetrius Harris","CHI","TE","$1,150,000"
"Andy Janovich","CLE","FB","$1,150,000"
"Kevin Pierre-Louis","WAS","OLB","$1,150,000"
"Demar Dotson","DEN","RT","$1,150,000"
"Eric Kendricks","MIN","ILB","$1,150,000"
"Darius Leonard","IND","OLB","$1,138,891"
"Justin Hardee","NO","CB","$1,135,000"
"Braden Smith","IND","RT","$1,133,972"
"Tarik Cohen","CHI","RB","$1,133,000"
"Desmond King","TEN","CB","$1,129,235"
"Brennan Scarlett","HOU","OLB","$1,125,000"
"Roderick Johnson","HOU","RT","$1,125,000"
"Ronald Jones II","TB","RB","$1,122,901"
"James Daniels","CHI","G","$1,111,833"
"Brian Burns","CAR","OLB","$1,110,463"
"Raekwon McMillan","LV","ILB","$1,105,573"
"Courtland Sutton","DEN","WR","$1,101,993"
"Sam Koch","BAL","P","$1,100,000"
"Morgan Cox","BAL","LS","$1,100,000"
"Cody Whitehair","CHI","C","$1,100,000"
"Alex Lewis","NYJ","G","$1,100,000"
"Vance McDonald","PIT","TE","$1,100,000"
"Cody Davis","NE","FS","$1,100,000"
"Marcedes Lewis","GB","TE","$1,100,000"
"Brandon Shell","SEA","RT","$1,100,000"
"Dion Lewis","NYG","RB","$1,100,000"
"LeShaun Sims","CIN","CB","$1,100,000"
"MyCole Pruitt","TEN","TE","$1,100,000"
"Tyron Smith","DAL","LT","$1,100,000"
"Nate Sudfeld","PHI","QB","$1,100,000"
"Dexter Lawrence","NYG","DE","$1,097,184"
"Harold Landry","TEN","OLB","$1,092,153"
"Dalvin Tomlinson","NYG","DT","$1,088,468"
"Mike Gesicki","MIA","TE","$1,081,084"
"Garrett Bradbury","MIN","C","$1,080,585"
"Zach Cunningham","HOU","ILB","$1,074,783"
"Kerryon Johnson","DET","RB","$1,071,245"
"Jeffery Simmons","TEN","DE","$1,070,625"
"Noah Fant","DEN","TE","$1,067,306"
"Ethan Pocic","SEA","G","$1,066,231"
"Darnell Savage","GB","SS","$1,063,986"
"Nevin Lawson","LV","CB","$1,062,500"
"Andre Dillard","PHI","LT","$1,057,299"
"Tytus Howard","HOU","RT","$1,050,707"
"Josh Harris","ATL","LS","$1,050,000"
"L.P. Ladouceur","DAL","LS","$1,050,000"
"Blidi Wreh-Wilson","ATL","CB","$1,050,000"
"Tom Compton","SF","G","$1,050,000"
"Terron Armstead","NO","LT","$1,050,000"
"Demario Davis","NO","OLB","$1,050,000"
"Jordan Reed","SF","TE","$1,050,000"
"Janoris Jenkins","NO","CB","$1,050,000"
"Malcolm Jenkins","NO","FS","$1,050,000"
"Tavon Wilson","IND","SS","$1,050,000"
"Eddie Jackson","CHI","FS","$1,050,000"
"LaRoy Reynolds","ATL","OLB","$1,050,000"
"Luke Stocker","ATL","TE","$1,050,000"
"Pernell McPhee","BAL","OLB","$1,050,000"
"Sherrick McManis","CHI","CB","$1,050,000"
"Johnson Bademosi","NO","CB","$1,050,000"
"Barkevious Mingo","CHI","OLB","$1,050,000"
"D.J. Swearinger","NO","FS","$1,050,000"
"John Jenkins","CHI","DT","$1,050,000"
"Tashaun Gipson","CHI","FS","$1,050,000"
"Kelechi Osemele","KC","G","$1,050,000"
"D.J. Fluker","BAL","G","$1,050,000"
"Mike Remmers","KC","RT","$1,050,000"
"Anthony Sherman","KC","FB","$1,050,000"
"Andrew Sendejo","CLE","FS","$1,050,000"
"Daniel Kilgore","KC","C","$1,050,000"
"Don Muhlbach","DET","LS","$1,050,000"
"Joe Flacco","NYJ","QB","$1,050,000"
"Michael Thomas","HOU","SS","$1,050,000"
"Blaine Gabbert","TB","QB","$1,050,000"
"Kevin Minter","TB","ILB","$1,050,000"
"Malcolm Smith","CLE","OLB","$1,050,000"
"Frank Gore","NYJ","RB","$1,050,000"
"Oday Aboushi","DET","G","$1,050,000"
"LeSean McCoy","TB","RB","$1,050,000"
"Rex Burkhead","NE","RB","$1,050,000"
"David DeCastro","PIT","G","$1,050,000"
"A.Q. Shipley","TB","C","$1,050,000"
"Joe Haden","PIT","CB","$1,050,000"
"Ryan Succop","TB","K","$1,050,000"
"Jon Weeks","HOU","LS","$1,050,000"
"Adrian Peterson","DET","RB","$1,050,000"
"Maurkice Pouncey","PIT","C","$1,050,000"
"Taiwan Jones","BUF","RB","$1,050,000"
"Cam Newton","NE","QB","$1,050,000"
"Tahir Whitehead","CAR","ILB","$1,050,000"
"Nick Sundberg","WAS","LS","$1,050,000"
"Brian Hoyer","NE","QB","$1,050,000"
"J.J. Jansen","CAR","LS","$1,050,000"
"Chris Thompson","JAC","RB","$1,050,000"
"Mike Glennon","JAC","QB","$1,050,000"
"Logan Ryan","NYG","CB","$1,050,000"
"Colt McCoy","NYG","QB","$1,050,000"
"Aaron Brewer","ARI","LS","$1,050,000"
"Nate Ebner","NYG","SS","$1,050,000"
"Benson Mayowa","SEA","DE","$1,050,000"
"Sam Martin","DEN","P","$1,050,000"
"Chris Banjo","ARI","SS","$1,050,000"
"Kelvin Beachum","ARI","LT","$1,050,000"
"Nick Bellore","SEA","FB","$1,050,000"
"Matt Ryan","ATL","QB","$1,050,000"
"Rodney Hudson","LV","C","$1,050,000"
"Josh Bynes","CIN","ILB","$1,050,000"
"Geno Smith","SEA","QB","$1,050,000"
"Neiko Thorpe","SEA","CB","$1,050,000"
"Mike Daniels","CIN","DT","$1,050,000"
"Clark Harris","CIN","LS","$1,050,000"
"Dre Kirkpatrick","ARI","CB","$1,050,000"
"Lane Johnson","PHI","RT","$1,050,000"
"Allen Bailey","ATL","DE","$1,050,000"
"Dan Bailey","MIN","K","$1,050,000"
"Jake McQuaide","LAR","LS","$1,050,000"
"Britton Colquitt","MIN","P","$1,050,000"
"Malik Jackson","PHI","DT","$1,050,000"
"Darius Slay","PHI","CB","$1,050,000"
"Jason Peters","PHI","LT","$1,050,000"
"Kyle Wilber","LV","OLB","$1,050,000"
"Sam Young","LV","LT","$1,050,000"
"Rodney McLeod","PHI","FS","$1,050,000"
"Nickell Robey-Coleman","PHI","CB","$1,050,000"
"Jack Crawford","TEN","DT","$1,050,000"
"Chidobe Awuzie","DAL","CB","$1,049,126"
"Josh Jackson","GB","CB","$1,048,736"
"Jared Goff","LAR","QB","$1,042,682"
"Josh Jacobs","LV","RB","$1,037,427"
"JuJu Smith-Schuster","PIT","WR","$1,037,152"
"Deshazor Everett","WAS","FS","$1,035,000"
"Taylor Moton","CAR","RT","$1,032,021"
"Marquise Brown","BAL","WR","$1,030,788"
"Tanoh Kpassagnon","KC","DE","$1,029,257"
"Montez Sweat","WAS","DE","$1,024,148"
"Johnathan Abram","LV","FS","$1,017,509"
"Christian Kirk","ARI","WR","$1,015,897"
"Jerry Tillery","LAC","DT","$1,014,189"
"Uchenna Nwosu","LAC","OLB","$1,003,598"
"Patrick Ricard","BAL","FB","$1,000,000"
"Michael Thomas","NO","WR","$1,000,000"
"Andrus Peat","NO","G","$1,000,000"
"David Onyemata","NO","DT","$1,000,000"
"Darryl Roberts","DET","CB","$1,000,000"
"Joey Bosa","LAC","DE","$1,000,000"
"Denzel Perryman","LAC","ILB","$1,000,000"
"B.J. Goodson","CLE","ILB","$1,000,000"
"Greg Van Roten","NYJ","RT","$1,000,000"
"Neville Hewitt","NYJ","ILB","$1,000,000"
"Patrick Onwuasor","NYJ","ILB","$1,000,000"
"Kamu Grugier-Hill","MIA","ILB","$1,000,000"
"Charley Hughlett","CLE","LS","$1,000,000"
"Rakeem Nunez-Roches","TB","DE","$1,000,000"
"Elandon Roberts","MIA","ILB","$1,000,000"
"Kendall Fuller","WAS","CB","$1,000,000"
"Eric Ebron","PIT","TE","$1,000,000"
"Damiere Byrd","NE","WR","$1,000,000"
"Wes Schweitzer","WAS","G","$1,000,000"
"Shilique Calhoun","NE","OLB","$1,000,000"
"Derek Watt","PIT","FB","$1,000,000"
"Melvin Gordon","DEN","RB","$1,000,000"
"Dean Marlowe","BUF","FS","$1,000,000"
"Tyler Eifert","JAC","TE","$1,000,000"
"Michael Schofield","CAR","G","$1,000,000"
"Dean Lowry","GB","DE","$1,000,000"
"Budda Baker","ARI","S","$1,000,000"
"Devon Kennard","ARI","OLB","$1,000,000"
"Nick Vannett","DEN","TE","$1,000,000"
"De'Vondre Campbell","ARI","ILB","$1,000,000"
"Jeff Driskel","DEN","QB","$1,000,000"
"Jeremiah Attaochu","DEN","OLB","$1,000,000"
"Xavier Su'a-Filo","CIN","G","$1,000,000"
"Nathan Peterman","LV","QB","$1,000,000"
"Malcolm Brown","LAR","RB","$1,000,000"
"Javon Hargrave","PHI","DT","$1,000,000"
"Ty Sambrailo","TEN","RT","$1,000,000"
"Andy Dalton","DAL","QB","$1,000,000"
"Blake Bell","DAL","TE","$1,000,000"
"Darian Thompson","DAL","FS","$1,000,000"
"Joe Thomas","DAL","OLB","$1,000,000"
"Dallas Goedert","PHI","TE","$991,297"
"Nick Folk","NE","K","$988,235"
"L.J. Collier","SEA","DE","$987,549"
"Connor Williams","DAL","G","$978,999"
"Anthony Miller","CHI","WR","$966,700"
"Dawuane Smoot","JAC","DE","$964,353"
"Kaleb McGary","ATL","RT","$961,625"
"Jon Bostic","WAS","ILB","$960,000"
"Kemoko Turay","IND","DE","$954,400"
"N'Keal Harry","NE","WR","$954,016"
"Jameis Winston","NO","QB","$952,000"
"J.D. McKissic","WAS","RB","$950,000"
"Cody Core","NYG","WR","$950,000"
"C.J. Beathard","SF","QB","$946,179"
"Ryan Griffin","TB","QB","$945,000"
"Devonta Freeman","NYG","RB","$944,118"
"M.J. Stewart","CLE","CB","$942,101"
"Jessie Bates III","CIN","FS","$929,801"
"Todd Davis","MIN","ILB","$926,471"
"Donte Jackson","CAR","CB","$917,502"
"Duke Dawson","DEN","CB","$911,352"
"Jerick McKinnon","SF","RB","$910,000"
"Senorise Perry","TEN","RB","$910,000"
"C.J. Goodwin","DAL","CB","$910,000"
"Justin March","DAL","OLB","$910,000"
"Darqueze Dennard","ATL","CB","$910,000"
"Trey Burton","IND","TE","$910,000"
"Luke Rhodes","IND","LS","$910,000"
"Jason Verrett","SF","CB","$910,000"
"Travis Carrie","IND","CB","$910,000"
"Sharrod Neasman","ATL","FS","$910,000"
"Chaz Green","IND","LT","$910,000"
"Steven Means","ATL","DE","$910,000"
"Christian Jones","DET","OLB","$910,000"
"Tyreek Hill","KC","WR","$910,000"
"Justin Ellis","BAL","DT","$910,000"
"Jihad Ward","BAL","DE","$910,000"
"Michael Burton","NO","FB","$910,000"
"Artie Burns","CHI","CB","$910,000"
"Ty Montgomery","NO","RB","$910,000"
"Germain Ifedi","CHI","G","$910,000"
"Dwayne Washington","NO","RB","$910,000"
"Patrick Scales","CHI","LS","$910,000"
"DeAndre Houston-Carson","CHI","S","$910,000"
"Brent Urban","CHI","DT","$910,000"
"Tony McRae","DET","CB","$910,000"
"Mario Edwards","CHI","DE","$910,000"
"James Winchester","KC","LS","$910,000"
"Antonio Hamilton","KC","CB","$910,000"
"Noah Spence","NO","DE","$910,000"
"Matthias Farley","NYJ","SS","$910,000"
"Phillip Gaines","HOU","CB","$910,000"
"Rashard Higgins","CLE","WR","$910,000"
"Tyrell Adams","HOU","ILB","$910,000"
"Daniel Brown","NYJ","TE","$910,000"
"Andrew Adams","TB","S","$910,000"
"Josh Wells","TB","RT","$910,000"
"Kavon Frazier","MIA","FS","$910,000"
"Brent Qvale","HOU","RT","$910,000"
"Steven Nelson","PIT","CB","$910,000"
"Terrence Brooks","NE","FS","$910,000"
"Chris Boswell","PIT","K","$910,000"
"Brandon King","NE","LB","$910,000"
"Joe Cardona","NE","LS","$910,000"
"Juston Burris","CAR","SS","$910,000"
"Cornelius Lucas","WAS","LT","$910,000"
"Brandon Copeland","NE","OLB","$910,000"
"D.J. Humphries","ARI","LT","$910,000"
"Kameron Canaday","PIT","LS","$910,000"
"Peyton Barber","WAS","RB","$910,000"
"Zach Kerr","CAR","DE","$910,000"
"Chris Manhertz","CAR","TE","$910,000"
"Pharoh Cooper","CAR","WR","$910,000"
"Sean Davis","PIT","FS","$910,000"
"James O'Shaughnessy","JAC","TE","$910,000"
"Julian Stanford","CAR","OLB","$910,000"
"Adarius Taylor","CAR","ILB","$910,000"
"Lane Taylor","GB","G","$910,000"
"Riley Dixon","NYG","P","$910,000"
"Max Garcia","ARI","G","$910,000"
"Adam Gotsis","JAC","DE","$910,000"
"Brett Hundley","ARI","QB","$910,000"
"Casey Kreiter","NYG","LS","$910,000"
"Tyler Ott","SEA","LS","$910,000"
"Cory Littleton","LV","ILB","$910,000"
"Tyler Ervin","GB","RB","$910,000"
"Phillip Dorsett","SEA","WR","$910,000"
"Branden Jackson","SEA","DE","$910,000"
"Rob Havenstein","LAR","RT","$910,000"
"Angelo Blackson","ARI","DE","$910,000"
"Kevin Byard","TEN","FS","$910,000"
"Nelson Agholor","LV","WR","$910,000"
"Devontae Booker","LV","RB","$910,000"
"Zack Martin","DAL","G","$910,000"
"Ameer Abdullah","MIN","RB","$910,000"
"Rashod Hill","MIN","RT","$910,000"
"Sean Mannion","MIN","QB","$910,000"
"Isaac Seumalo","PHI","G","$910,000"
"Tyeler Davison","ATL","DT","$910,000"
"Dakota Dozier","MIN","G","$910,000"
"Nick Dzubnar","TEN","ILB","$910,000"
"Rick Lovato","PHI","LS","$910,000"
"Hassan Ridgeway","PHI","DT","$910,000"
"Crevon LeBlanc","PHI","CB","$910,000"
"Chris Milton","TEN","CB","$910,000"
"Geoff Swaim","TEN","TE","$910,000"
"Dee Ford","SF","DE","$910,000"
"Aldon Smith","DAL","DE","$910,000"
"Keith Smith","ATL","FB","$910,000"
"Richard Rodgers","PHI","TE","$910,000"
"Isaiah Oliver","ATL","CB","$901,513"
"C.J. Ham","MIN","FB","$900,000"
"James Washington","PIT","WR","$889,213"
"DJ Chark","JAC","WR","$884,294"
"Brian O'Neill","MIN","RT","$880,603"
"Carlton Davis","TB","CB","$879,374"
"Tyquan Lewis","IND","DT","$876,914"
"Lucas Patrick","GB","G","$875,000"
"Jahleel Addae","LAC","SS","$864,706"
"Myles Garrett","CLE","DE","$862,126"
"Byron Murphy","ARI","CB","$858,159"
"Dontae Johnson","SF","CB","$856,471"
"John Wetzel","ATL","T","$856,471"
"Cairo Santos","CHI","K","$856,471"
"Cody Parkey","CLE","K","$856,471"
"Anthony Chickillo","DEN","OLB","$856,471"
"Rock Ya-Sin","IND","CB","$854,839"
"Brandon Parker","LV","LT","$852,304"
"Lorenzo Carter","NYG","OLB","$851,226"
"Jawaan Taylor","JAC","RT","$850,632"
"Christian Blake","ATL","WR","$850,000"
"Gardner Minshew","JAC","QB","$850,000"
"Justin Reid","HOU","FS","$849,957"
"B.J. Hill","NYG","DE","$848,690"
"Deebo Samuel","SF","WR","$844,880"
"Fred Warner","SF","ILB","$844,000"
"Greg Little","CAR","LT","$842,224"
"Taysom Hill","NO","QB","$841,000"
"Mason Rudolph","PIT","QB","$836,554"
"Cody Ford","BUF","RT","$835,419"
"Alvin Kamara","NO","RB","$833,000"
"Royce Freeman","DEN","RB","$832,000"
"Sean Bunting","TB","CB","$830,273"
"Pat Elflein","NYJ","G","$829,500"
"Noah Brown","DAL","WR","$825,000"
"Mitchell Trubisky","CHI","QB","$825,000"
"D.J. Jones","SF","DT","$825,000"
"Trey Hendrickson","NO","DE","$825,000"
"Zach Wood","NO","LS","$825,000"
"Patrick Mahomes","KC","QB","$825,000"
"Rashaad Coward","CHI","G","$825,000"
"Jason Spriggs","CHI","LT","$825,000"
"Jalen Reeves-Maybin","DET","OLB","$825,000"
"Vernon Hargreaves","HOU","CB","$825,000"
"Reggie Ragland","DET","ILB","$825,000"
"Mike Williams","LAC","WR","$825,000"
"Taco Charlton","KC","DE","$825,000"
"Jamal Agnew","DET","WR","$825,000"
"Carlos Watkins","HOU","DE","$825,000"
"Thomas Hennessy","NYJ","LS","$825,000"
"Conor McDermott","NYJ","LT","$825,000"
"Jojo Natson","CLE","WR","$825,000"
"Arthur Maulet","NYJ","CB","$825,000"
"Antony Auclair","TB","TE","$825,000"
"Vincent Taylor","CLE","DT","$825,000"
"Tarell Basham","NYJ","OLB","$825,000"
"Isaac Rochell","LAC","DE","$825,000"
"Mack Hollins","MIA","WR","$825,000"
"Adam Pankey","MIA","G","$825,000"
"Christian McCaffrey","CAR","RB","$825,000"
"Reid Ferguson","BUF","LS","$825,000"
"Cameron Sutton","PIT","CB","$825,000"
"Isaiah McKenzie","BUF","WR","$825,000"
"James Conner","PIT","RB","$825,000"
"Jordan Dangerfield","PIT","SS","$825,000"
"Joshua Dobbs","PIT","QB","$825,000"
"Alex Armah","CAR","FB","$825,000"
"Rasul Douglas","CAR","CB","$825,000"
"Josh Jones","JAC","FS","$825,000"
"Jamal Adams","SEA","SS","$825,000"
"Elijhaa Penny","NYG","FB","$825,000"
"Wayne Gallman","NYG","RB","$825,000"
"Montravius Adams","GB","DT","$825,000"
"Adrian Colbert","NYG","FS","$825,000"
"Delano Hill","SEA","SS","$825,000"
"Darrell Daniels","ARI","TE","$825,000"
"David Moore","SEA","WR","$825,000"
"Tanner Vallejo","ARI","ILB","$825,000"
"Charles Washington","ARI","FS","$825,000"
"Jake Butt","DEN","TE","$825,000"
"Jordan Evans","CIN","ILB","$825,000"
"Corey Davis","TEN","WR","$825,000"
"Mike Thomas","CIN","WR","$825,000"
"Dalvin Cook","MIN","RB","$825,000"
"Samaje Perine","CIN","RB","$825,000"
"Joe Jones","DEN","OLB","$825,000"
"Jaleel Johnson","MIN","DT","$825,000"
"Morgan Fox","LAR","DE","$825,000"
"Jake Elliott","PHI","K","$825,000"
"Kalif Raymond","TEN","WR","$825,000"
"Tye Smith","TEN","CB","$825,000"
"Corey Clement","PHI","RB","$825,000"
"Johnathan Ford","PHI","FS","$825,000"
"Nate Gerry","PHI","OLB","$825,000"
"Duke Riley","PHI","OLB","$825,000"
"Justin McCray","ATL","G","$825,000"
"Randy Gregory","DAL","DE","$825,000"
"Trayvon Mullen","LV","CB","$824,961"
"Dalton Risner","DEN","G","$819,649"
"Nathan Shepherd","NYJ","DE","$818,000"
"Drew Lock","DEN","QB","$813,674"
"Jerome Baker","MIA","ILB","$810,000"
"Alex Anzalone","NO","OLB","$809,000"
"Steve McLendon","TB","DT","$808,824"
"Jahlani Tavai","DET","ILB","$808,362"
"George Iloka","MIN","FS","$802,941"
"Hroniss Grasu","SF","C","$802,941"
"Mike Pennel","KC","DT","$802,941"
"Ryan Groy","LAC","G","$802,941"
"Dion Jordan","SF","DE","$802,935"
"Jordan Richards","BAL","SS","$802,935"
"Elgton Jenkins","GB","G","$802,597"
"Joejuan Williams","NE","CB","$795,535"
"Greedy Williams","CLE","CB","$788,576"
"Geron Christian","WAS","LT","$779,000"
"Marquise Blair","SEA","FS","$778,484"
"Erik McCoy","NO","C","$771,261"
"Ben Banogu","IND","DE","$765,205"
"Bashaud Breeland","KC","CB","$764,706"
"Irv Smith","MIN","TE","$758,566"
"A.J. Brown","TEN","WR","$751,926"
"Michael Gallup","DAL","WR","$750,000"
"Dorance Armstrong","DAL","DE","$750,000"
"Deadrin Senat","ATL","DT","$750,000"
"Dalton Schultz","DAL","TE","$750,000"
"Ito Smith","ATL","RB","$750,000"
"Malik Turner","DAL","WR","$750,000"
"Antwaun Woods","DAL","DT","$750,000"
"Nyheim Hines","IND","RB","$750,000"
"Tarvarius Moore","SF","FS","$750,000"
"Russell Gage","ATL","WR","$750,000"
"Jordan Wilkins","IND","RB","$750,000"
"Foyesade Oluokun","ATL","OLB","$750,000"
"Roquan Smith","CHI","ILB","$750,000"
"Zaire Franklin","IND","ILB","$750,000"
"Trent Taylor","SF","WR","$750,000"
"George Odum","IND","FS","$750,000"
