"Player","Pos","Team","Penalty Ct","Yds","Declined","Offsetting","Total Flags","Pre-Snap","Ct/Game","Yds/Game","% of Team","Penalties"
"P.Peterson","CB","Arizona",10,114,4,0,14,2,0.63,7.13,12.39,"Defensive Holding (7), Defensive Pass Interference (4), Defensive Offside (2), Illegal Use of Hands (1)"
"J.Wills","T","Cleveland",11,70,0,0,11,8,0.61,3.89,10.38,"False Start (8), Offensive Holding (3)"
"M.Sweat","DE","Washington",10,80,0,0,10,7,0.59,4.71,11.24,"Defensive Offside (4), Neutral Zone Infraction (3), Roughing the Passer (2), Horse Collar Tackle (1)"
"J.Pugh","OL","Arizona",9,58,0,0,9,4,0.56,3.63,7.96,"False Start (4), Offensive Holding (4), Tripping (1)"
"D.Dozier","G","Minnesota",9,74,0,0,9,4,0.56,4.63,10.98,"False Start (4), Offensive Holding (4), Chop Block (1)"
"D.Brown","DT","Carolina",9,47,0,0,9,4,0.56,2.94,9.47,"Illegal Use of Hands (2), Encroachment (2), Defensive Holding (2), Unnecessary Roughness (1), Defensive Offside (1), Neutral Zone Infraction (1)"
"B.Breeland","CB","Kansas City",10,108,3,0,13,0,0.53,5.68,10.32,"Defensive Pass Interference (5), Defensive Holding (4), Illegal Use of Hands (2), Unnecessary Roughness (1), Illegal Contact (1)"
"A.Hicks","DT","Chicago",9,67,2,0,11,3,0.53,3.94,11.34,"Roughing the Passer (3), Neutral Zone Infraction (3), Illegal Use of Hands (2), Face Mask (15 Yards) (1), Unsportsmanlike Conduct (1), Defensive Holding (1)"
"D.Lewis","G","Seattle",9,75,0,0,9,2,0.53,4.41,9.68,"Offensive Holding (5), False Start (2), Tripping (1), Ineligible Downfield Pass (1)"
"C.Davis","CB","Tampa Bay",10,114,1,0,11,0,0.5,5.7,10.89,"Defensive Pass Interference (5), Defensive Holding (2), Face Mask (15 Yards) (1), Illegal Use of Hands (1), Horse Collar Tackle (1), Lowering the Head to Initiate Contact (1)"
"T.Howard","OL","Houston",8,62,1,0,9,3,0.5,3.88,11.25,"False Start (3), Offensive Holding (3), Ineligible Downfield Pass (2), Chop Block (1)"
"T.Williams","T","San Francisco",8,65,1,0,9,3,0.5,4.06,10.59,"Offensive Holding (6), False Start (3)"
"J.Lewis","CB","Dallas",8,105,0,0,8,0,0.5,6.56,8.33,"Defensive Pass Interference (4), Defensive Holding (2), Unnecessary Roughness (1), Illegal Contact (1)"
"J.Hankins","DT","Las Vegas",8,57,0,0,8,3,0.5,3.56,8.16,"Encroachment (2), Defensive Holding (2), Unnecessary Roughness (1), Face Mask (15 Yards) (1), Roughing the Passer (1), Neutral Zone Infraction (1)"
"J.Tillery","DT","LA Chargers",8,59,0,0,8,4,0.5,3.69,9.41,"Roughing the Passer (2), Defensive Offside (2), Face Mask (15 Yards) (1), Illegal Use of Hands (1), Illegal Formation (1), Neutral Zone Infraction (1)"
"T.Mullen","CB","Las Vegas",8,87,0,0,8,1,0.5,5.44,8.16,"Defensive Pass Interference (4), Face Mask (15 Yards) (1), Offensive Holding (1), Defensive Offside (1), Defensive Holding (1)"
"M.Jackson","DT","Philadelphia",8,57,0,0,8,4,0.5,3.56,7.48,"Unnecessary Roughness (3), Encroachment (3), Roughing the Passer (1), Defensive Offside (1)"
"C.Ward","CB","Kansas City",9,106,1,1,11,0,0.47,5.58,8.73,"Defensive Holding (5), Defensive Pass Interference (4), Illegal Use of Hands (1), Unsportsmanlike Conduct (1)"
"M.Pittman","WR","Indianapolis",8,60,0,0,8,4,0.47,3.53,8.33,"False Start (4), Illegal Block Above the Waist (2), Offensive Pass Interference (1), Offensive Holding (1)"
"D.Smith","T","Tampa Bay",9,70,0,1,10,3,0.45,3.5,9.9,"Offensive Holding (6), False Start (3), Ineligible Downfield Pass (1)"
"M.Lattimore","CB","New Orleans",8,81,3,1,12,0,0.44,4.5,11.21,"Defensive Holding (5), Defensive Pass Interference (3), Illegal Use of Hands (2), Unnecessary Roughness (1), Face Mask (15 Yards) (1)"
"M.Judon","LB","Baltimore",8,72,2,0,10,6,0.44,4,8.55,"Defensive Offside (6), Roughing the Passer (2), Unnecessary Roughness (1), Disqualification (1)"
"C.Gardner-Johnson","DB","New Orleans",8,89,1,1,10,0,0.44,4.94,9.35,"Unnecessary Roughness (4), Defensive Holding (4), Defensive Pass Interference (1), Unsportsmanlike Conduct (1)"
"M.Pryor","G","Philadelphia",7,40,2,0,9,6,0.44,2.5,8.41,"False Start (5), Offensive Holding (2), Illegal Formation (1), Ineligible Downfield Pass (1)"
"D.Kirkpatrick","CB","Arizona",7,50,2,0,9,0,0.44,3.13,7.96,"Defensive Pass Interference (5), Defensive Holding (2), Illegal Use of Hands (1), Taunting (1)"
"J.Bosa","LB","LA Chargers",7,63,1,0,8,4,0.44,3.94,9.41,"Roughing the Passer (3), Defensive Offside (2), Neutral Zone Infraction (2), Unnecessary Roughness (1)"
"B.O'Neill","T","Minnesota",7,45,1,0,8,5,0.44,2.81,9.76,"False Start (5), Offensive Holding (2), Illegal Use of Hands (1)"
"J.Smith","LB","Dallas",7,82,1,0,8,1,0.44,5.13,8.33,"Defensive Pass Interference (2), Illegal Contact (2), Face Mask (15 Yards) (1), Roughing the Passer (1), Neutral Zone Infraction (1), Lowering the Head to Initiate Contact (1)"
"M.Jack","LB","Jacksonville",7,81,0,0,7,1,0.44,5.06,6.54,"Defensive Pass Interference (3), Face Mask (15 Yards) (1), Defensive Offside (1), Defensive Holding (1), Lowering the Head to Initiate Contact (1)"
"L.Tunsil","OL","Houston",7,50,0,0,7,4,0.44,3.13,8.75,"False Start (4), Offensive Holding (3)"
"D.Arnold","TE","Arizona",7,45,0,0,7,5,0.44,2.81,6.19,"False Start (5), Offensive Pass Interference (1), Offensive Holding (1)"
"R.Dwelley","TE","San Francisco",7,54,0,0,7,3,0.44,3.38,8.24,"Offensive Holding (4), False Start (3)"
"C.Jones","DT","Kansas City",8,81,1,0,9,3,0.42,4.26,7.14,"Roughing the Passer (3), Defensive Offside (3), Illegal Use of Hands (2), Unnecessary Roughness (1)"
"R.Evans","LB","Tennessee",7,79,1,0,8,0,0.41,4.65,9.09,"Face Mask (15 Yards) (2), Defensive Holding (2), Unnecessary Roughness (1), Roughing the Passer (1), Illegal Use of Hands (1), Disqualification (1)"
"K.Fuller","CB","Chicago",7,104,0,0,7,0,0.41,6.12,7.22,"Defensive Pass Interference (4), Unnecessary Roughness (1), Face Mask (15 Yards) (1), Lowering the Head to Initiate Contact (1)"
"C.Leno","T","Chicago",7,55,0,0,7,3,0.41,3.24,7.22,"Offensive Holding (4), False Start (3)"
"E.Ebron","TE","Pittsburgh",7,55,0,0,7,3,0.41,3.24,8.24,"False Start (3), Offensive Holding (3), Offensive Pass Interference (1)"
"D.King","CB","Tennessee",7,56,0,0,7,0,0.41,3.29,7.95,"Defensive Pass Interference (3), Defensive Holding (2), Face Mask (15 Yards) (1), Illegal Contact (1)"
"N.Suh","DT","Tampa Bay",8,50,0,1,9,7,0.4,2.5,8.91,"Neutral Zone Infraction (4), Defensive Offside (3), Unnecessary Roughness (1), Roughing the Passer (1)"
"Z.Smith","LB","Green Bay",7,55,1,1,9,6,0.39,3.06,9.68,"Defensive Offside (5), Unnecessary Roughness (1), Roughing the Passer (1), Encroachment (1), Defensive Holding (1)"
"C.Clark","DB","Baltimore",7,61,0,0,7,1,0.39,3.39,5.98,"Defensive Pass Interference (4), Face Mask (15 Yards) (1), Illegal Contact (1), Defensive Offside (1)"
"B.Mayfield","QB","Cleveland",7,80,0,0,7,1,0.39,4.44,6.6,"Intentional Grounding (6), False Start (1)"
"X.Howard","CB","Miami",6,67,0,2,8,0,0.38,4.19,10.81,"Defensive Pass Interference (4), Defensive Holding (2), Face Mask (15 Yards) (1), Disqualification (1)"
"W.Jackson III","CB","Cincinnati",6,67,1,1,8,0,0.38,4.19,9.52,"Defensive Pass Interference (5), Illegal Contact (1), Illegal Use of Hands (1), Unsportsmanlike Conduct (1)"
"B.Austin","CB","N.Y. Jets",6,65,2,0,8,0,0.38,4.06,7.92,"Defensive Pass Interference (3), Defensive Holding (2), Face Mask (15 Yards) (1), Illegal Contact (1), Unsportsmanlike Conduct (1)"
"J.Taylor","OL","Jacksonville",6,40,1,0,7,4,0.38,2.5,6.54,"False Start (4), Offensive Holding (3)"
"B.Roby","CB","Houston",6,77,1,0,7,0,0.38,4.81,8.75,"Defensive Pass Interference (4), Defensive Holding (2), Illegal Contact (1)"
"N.Needham","CB","Miami",6,35,1,0,7,0,0.38,2.19,9.46,"Illegal Contact (3), Defensive Pass Interference (2), Defensive Holding (2)"
"C.Fleming","T","N.Y. Giants",6,39,1,0,7,4,0.38,2.44,8.64,"False Start (4), Offensive Holding (3)"
"P.Brown","TE","Houston",6,54,1,0,7,1,0.38,3.38,8.75,"Offensive Holding (4), Offensive Pass Interference (2), False Start (1)"
"T.Decker","T","Detroit",6,35,0,0,6,5,0.38,2.19,6.25,"False Start (5), Offensive Holding (1)"
"D.Humphries","OL","Arizona",6,30,0,0,6,6,0.38,1.88,5.31,"False Start (6)"
"D.Smoot","DE","Jacksonville",6,50,0,0,6,4,0.38,3.13,5.61,"Roughing the Passer (2), Defensive Offside (2), Encroachment (1), Neutral Zone Infraction (1)"
"J.Abram","DB","Las Vegas",6,62,0,0,6,1,0.38,3.88,6.12,"Unnecessary Roughness (3), Face Mask (15 Yards) (1), Defensive Offside (1), Illegal Blindside Block (1)"
"A.Wingard","DB","Jacksonville",6,105,0,0,6,0,0.38,6.56,5.61,"Defensive Pass Interference (2), Unnecessary Roughness (1), Illegal Block Above the Waist (1), Ineligible Downfield Kick (1), Chop Block (1)"
"Q.Williams","DT","N.Y. Jets",6,70,0,0,6,2,0.38,4.38,5.94,"Roughing the Passer (3), Defensive Offside (2), Face Mask (15 Yards) (1)"
"N.Herbig","G","Philadelphia",6,37,0,0,6,4,0.38,2.31,5.61,"False Start (4), Offensive Holding (2)"
"J.Jones","DB","Jacksonville",6,100,0,0,6,0,0.38,6.25,5.61,"Defensive Pass Interference (3), Roughing the Passer (1), Disqualification (1), Lowering the Head to Initiate Contact (1)"
"K.Beachum","OL","Arizona",6,45,0,0,6,3,0.38,2.81,5.31,"False Start (3), Offensive Holding (2), Illegal Block Above the Waist (1)"
"M.Becton","T","N.Y. Jets",6,30,0,0,6,6,0.38,1.88,5.94,"False Start (5), Illegal Formation (1)"
"T.White","CB","Buffalo",7,72,0,0,7,1,0.37,3.79,6.36,"Defensive Pass Interference (3), Unnecessary Roughness (1), Illegal Contact (1), Defensive Holding (1), Neutral Zone Infraction (1)"
"Q.Nelson","OL","Indianapolis",6,55,1,1,8,1,0.35,3.24,8.33,"Offensive Holding (6), False Start (1), Ineligible Downfield Pass (1)"
"S.Barrett","LB","Tampa Bay",7,45,0,1,8,7,0.35,2.25,7.92,"Neutral Zone Infraction (4), Defensive Offside (3), Roughing the Passer (1)"
"J.Pierre-Paul","LB","Tampa Bay",7,60,0,0,7,4,0.35,3,6.93,"Defensive Offside (4), Unnecessary Roughness (1), Roughing the Passer (1), Tripping (1)"
"N.Davis","G","Tennessee",6,45,0,0,6,3,0.35,2.65,6.82,"False Start (3), Offensive Holding (3)"
"R.Ya-Sin","CB","Indianapolis",6,102,0,0,6,0,0.35,6,6.25,"Defensive Pass Interference (3), Unnecessary Roughness (1), Illegal Contact (1), Illegal Use of Hands (1)"
"D.Fluker","G","Baltimore",6,50,3,0,9,2,0.33,2.78,7.69,"Offensive Holding (6), False Start (1), Illegal Formation (1), Ineligible Downfield Pass (1)"
"M.Garrett","DE","Cleveland",6,29,2,0,8,8,0.33,1.61,7.55,"Defensive Offside (4), Neutral Zone Infraction (3), Encroachment (1)"
"M.Peters","CB","Baltimore",6,81,1,1,8,0,0.33,4.5,6.84,"Defensive Pass Interference (3), Unnecessary Roughness (2), Defensive Holding (2), Illegal Use of Hands (1)"
"M.Jenkins","SS","New Orleans",6,49,1,0,7,0,0.33,2.72,6.54,"Defensive Pass Interference (2), Defensive Holding (2), Unnecessary Roughness (1), Illegal Contact (1), Horse Collar Tackle (1)"
"J.Ramsey","CB","LA Rams",6,112,1,0,7,1,0.33,6.22,9.21,"Defensive Pass Interference (5), Defensive Offside (1), Lowering the Head to Initiate Contact (1)"
"C.Jordan","DE","New Orleans",6,47,0,0,6,2,0.33,2.61,5.61,"Neutral Zone Infraction (2), Roughing the Passer (1), Horse Collar Tackle (1), Defensive Holding (1), Disqualification (1)"
"K.King","CB","Green Bay",6,48,0,0,6,0,0.33,2.67,6.45,"Defensive Holding (4), Defensive Pass Interference (1), Lowering the Head to Initiate Contact (1)"
"L.Ogunjobi","DT","Cleveland",6,32,0,0,6,5,0.33,1.78,5.66,"Encroachment (3), Defensive Offside (2), Face Mask (15 Yards) (1)"
"E.Jenkins","G","Green Bay",6,50,0,0,6,2,0.33,2.78,6.45,"Offensive Holding (4), False Start (1), Illegal Formation (1)"
"W.Teller","G","Cleveland",6,55,0,0,6,2,0.33,3.06,5.66,"Offensive Holding (3), False Start (2), Illegal Blindside Block (1)"
"J.Jenkins","CB","New Orleans",6,83,0,0,6,0,0.33,4.61,5.61,"Defensive Pass Interference (6)"
"E.Oliver","DT","Buffalo",6,40,2,0,8,5,0.32,2.11,7.27,"Neutral Zone Infraction (3), Roughing the Passer (2), Defensive Offside (2), Illegal Use of Hands (1)"
"T.Kelce","TE","Kansas City",6,55,0,0,6,2,0.32,2.89,4.76,"False Start (2), Offensive Pass Interference (2), Offensive Holding (1), Unsportsmanlike Conduct (1)"
"T.Hill","WR","Kansas City",6,34,0,0,6,4,0.32,1.79,4.76,"False Start (3), Illegal Block Above the Waist (1), Offside on Free Kick (1), Illegal Motion (1)"
"T.Mathieu","DB","Kansas City",6,55,0,0,6,0,0.32,2.89,4.76,"Defensive Pass Interference (3), Unsportsmanlike Conduct (2), Defensive Holding (1)"
"D.Williams","OL","Buffalo",6,30,0,0,6,5,0.32,1.58,5.45,"False Start (5), Offensive Holding (1)"
"T.Herndon","CB","Jacksonville",5,53,2,0,7,0,0.31,3.31,6.54,"Defensive Pass Interference (3), Defensive Holding (3), Illegal Contact (1)"
"S.Gilmore","CB","New England",5,76,0,1,6,0,0.31,4.75,9.68,"Defensive Pass Interference (4), Defensive Holding (2)"
"C.Lawson","DE","Cincinnati",5,32,1,0,6,4,0.31,2,7.14,"Defensive Offside (3), Unnecessary Roughness (1), Illegal Use of Hands (1), Neutral Zone Infraction (1)"
"B.Chubb","LB","Denver",5,65,0,1,6,2,0.31,4.06,7.32,"Roughing the Passer (2), Unnecessary Roughness (1), Face Mask (15 Yards) (1), Defensive Offside (1), Neutral Zone Infraction (1)"
"M.Cole","C","Arizona",5,25,0,1,6,4,0.31,1.56,5.31,"False Start (4), Ineligible Downfield Pass (2)"
"T.Hockenson","TE","Detroit",5,45,1,0,6,1,0.31,2.81,6.25,"Offensive Holding (4), False Start (1), Offensive Pass Interference (1)"
"M.Crosby","DE","Las Vegas",5,45,1,0,6,4,0.31,2.81,6.12,"Defensive Offside (2), Neutral Zone Infraction (2), Face Mask (15 Yards) (1), Roughing the Passer (1)"
"N.Lawson","CB","Las Vegas",5,65,1,0,6,0,0.31,4.06,6.12,"Defensive Pass Interference (2), Defensive Holding (2), Face Mask (15 Yards) (1), Offensive Holding (1)"
"D.Hopkins","WR","Arizona",5,45,0,1,6,2,0.31,2.81,5.31,"False Start (2), Offensive Pass Interference (2), Illegal Block Above the Waist (1), Unsportsmanlike Conduct (1)"
"J.Miller","G","Carolina",5,48,0,1,6,1,0.31,3,6.32,"Offensive Holding (4), False Start (1), Unnecessary Roughness (1)"
"T.Higgins","WR","Cincinnati",5,25,0,1,6,3,0.31,1.56,7.14,"False Start (3), Illegal Block Above the Waist (1), Unsportsmanlike Conduct (1), Illegal Touch Pass (1)"
"D.Lawrence","DE","Dallas",5,36,0,0,5,3,0.31,2.25,5.21,"Neutral Zone Infraction (2), Roughing the Passer (1), Defensive Offside (1), Defensive Holding (1)"
"R.Gregory","DE","Dallas",5,55,0,0,5,2,0.31,3.44,5.21,"Unnecessary Roughness (2), Defensive Offside (2), Roughing the Passer (1)"
"C.Robinson","OL","Jacksonville",5,35,0,0,5,3,0.31,2.19,4.67,"False Start (3), Unnecessary Roughness (1), Disqualification (1)"
"S.Tevi","T","LA Chargers",5,40,0,0,5,2,0.31,2.5,5.88,"False Start (2), Offensive Holding (2), Illegal Block Above the Waist (1)"
"A.Redmond","G","Cincinnati",5,40,0,0,5,2,0.31,2.5,5.95,"Offensive Holding (3), False Start (2)"
"R.Okwara","LB","Detroit",5,36,0,0,5,3,0.31,2.25,5.21,"Face Mask (15 Yards) (1), Roughing the Passer (1), Defensive Offside (1), Encroachment (1), Neutral Zone Infraction (1)"
"A.Key","DE","Las Vegas",5,48,0,0,5,2,0.31,3,5.1,"Defensive Offside (2), Unnecessary Roughness (1), Face Mask (15 Yards) (1), Roughing the Passer (1)"
"C.Williams","G","Dallas",5,40,0,0,5,2,0.31,2.5,5.21,"Offensive Holding (3), False Start (2)"
"D.Schultz","TE","Dallas",5,50,0,0,5,1,0.31,3.13,5.21,"Offensive Holding (2), False Start (1), Unnecessary Roughness (1), Offensive Pass Interference (1)"
"K.Zeitler","G","N.Y. Giants",5,30,0,0,5,4,0.31,1.88,6.17,"False Start (4), Offensive Holding (1)"
"T.Conklin","TE","Minnesota",5,40,0,0,5,2,0.31,2.5,6.1,"Offensive Holding (3), False Start (2)"
